USF2	USF1
MEF2C	MEF2A
FOSL1	FOSL2
FOSL1	FOS
JUNB	JUN
JUNB	JUND
CTCFL	CTCF
GATA3	GATA2
GATA3	GATA1
STAT1	STAT2
STAT1	STAT3
JUN	JUND
SMARCC1	SMARCC2
STAT3	STAT2
SREBF1	SREBF2
FOSL2	FOS
ESRRA	ESR1
HNF4G	RXRA
HNF4G	HNF4A
TFAP2A	TFAP2C
SP2	SP1
E2F6	E2F1
GATA1	GATA2
FOXA1	FOXA2
MAFK	MAFF
