Paralog1	Paralog2
MT-ND2	MT-ND4
MT-ND2	MT-ND5
MT-ND4	MT-ND5
BX072566.1	POTEA
BX072566.1	NFKBIE
BX072566.1	BCL3
POTEA	POTED
POTEA	AC136352.3
POTEA	POTEH
POTEA	POTEC
POTEA	POTEM
POTEA	POTEG
POTEA	POTEB2
POTEA	POTEB3
POTEA	POTEB
POTEA	NFKBIE
POTEA	BCL3
POTEA	POTEF
POTEA	POTEI
POTEA	POTEJ
POTEA	POTEE
NFKBIE	POTED
NFKBIE	AC136352.3
NFKBIE	POTEH
NFKBIE	POTEC
NFKBIE	POTEM
NFKBIE	POTEG
NFKBIE	POTEB2
NFKBIE	POTEB3
NFKBIE	POTEB
NFKBIE	POTEF
NFKBIE	POTEE
NFKBIE	POTEJ
NFKBIE	POTEI
BCL3	POTED
BCL3	AC136352.3
BCL3	POTEH
BCL3	POTEC
BCL3	POTEM
BCL3	POTEG
BCL3	POTEB2
BCL3	POTEB3
BCL3	POTEB
BCL3	POTEF
BCL3	POTEE
BCL3	POTEJ
BCL3	POTEI
AC007325.2	PRODH2
PRODH	PRODH2
MAFIP	TEKT5
MAFIP	TEKT1
MAFIP	TEKT2
MAFIP	TEKT4
TEKT3	TEKT2
TEKT5	TEKT2
TEKT5	TEKT4
AC233755.2	IGHV7-4-1
AC233755.2	IGHV7-81
AC233755.2	IGHA1
AC233755.2	IGHA2
AC233755.2	IGHD
AC233755.2	IGHG3
AC233755.2	IGHG1
AC233755.2	IGHG2
AC233755.2	IGHG4
AC233755.2	IGHV3-35
AC233755.2	IGHV3-16
AC233755.2	AC141272.1
AC233755.2	IGHV3OR16-9
AC233755.2	IGHV3OR16-8
AC233755.2	AC136428.1
AC233755.2	IGHV5-51
AC233755.2	IGHV5-10-1
AC233755.2	AC135068.9
AC233755.2	IGHV1OR15-1
AC233755.2	IGHV1-2
AC233755.2	IGHV1-3
AC233755.2	IGHV1-58
AC233755.2	IGHV1-18
AC233755.2	IGHV1-45
AC233755.2	AC136616.3
AC233755.2	IGHV1-69
AC233755.2	IGHV1-69D
AC233755.2	IGHV1-69-2
AC233755.2	IGHV1-24
AC233755.2	IGHV1-46
AC233755.2	IGHV1OR15-9
AC233755.2	IGHV1OR21-1
AC233755.2	IGKC
AC233755.2	IGHV6-1
AC233755.2	AC233755.1
AC233755.2	IGHV4-28
AC233755.2	IGHV4-39
AC233755.2	IGHV4-31
AC233755.2	IGHV4-61
AC233755.2	IGHV4-59
AC233755.2	AC135068.3
AC233755.2	IGHV4OR15-8
AC233755.2	IGHV4-4
AC233755.2	IGHV4-34
AC233755.2	IGHV2-5
AC233755.2	IGHV2-70D
AC233755.2	IGHV2-70
AC233755.2	IGHV2-26
AC233755.2	IGHV2OR16-5
AC233755.2	IGLL1
AC233755.2	IGLL5
AC233755.2	IGLC1
AC233755.2	IGLC7
AC233755.2	IGLC3
AC233755.2	IGLC2
AC233755.2	IGHE
AC233755.2	IGHM
AC233755.2	TRDC
IGHV3-43	AC233755.1
IGHV3-43	AC136616.3
IGHV3-43	AC141272.1
IGHV3-43	IGLL5
IGHV3-43	IGLL1
IGHV3-43	AC136428.1
IGHV3-20	AC233755.1
IGHV3-20	AC136616.3
IGHV3-20	AC141272.1
IGHV3-20	IGLL5
IGHV3-20	IGLL1
IGHV3-20	AC136428.1
IGHV3-30	AC233755.1
IGHV3-30	AC136616.3
IGHV3-30	AC141272.1
IGHV3-30	IGLL5
IGHV3-30	IGLL1
IGHV3-30	AC136428.1
IGHV8-51-1	AC233755.1
IGHV8-51-1	AC136616.3
IGHV8-51-1	AC141272.1
IGHV8-51-1	IGLL5
IGHV8-51-1	IGLL1
IGHV8-51-1	AC136428.1
IGHV3-74	AC233755.1
IGHV3-74	AC136616.3
IGHV3-74	AC141272.1
IGHV3-74	IGLL5
IGHV3-74	IGLL1
IGHV3-74	AC136428.1
IGHV3-7	AC233755.1
IGHV3-7	AC136616.3
IGHV3-7	AC141272.1
IGHV3-7	IGLL5
IGHV3-7	IGLL1
IGHV3-7	AC136428.1
IGHV3-33	AC233755.1
IGHV3-33	AC136616.3
IGHV3-33	AC141272.1
IGHV3-33	IGLL5
IGHV3-33	IGLL1
IGHV3-33	AC136428.1
IGHV3OR16-13	AC233755.1
IGHV3OR16-13	AC136616.3
IGHV3OR16-13	AC141272.1
IGHV3OR16-13	IGLL5
IGHV3OR16-13	IGLL1
IGHV3OR16-13	AC136428.1
IGHV3OR15-7	AC233755.1
IGHV3OR15-7	AC136616.3
IGHV3OR15-7	AC141272.1
IGHV3OR15-7	IGLL5
IGHV3OR15-7	IGLL1
IGHV3OR15-7	AC136428.1
IGHV3-21	AC233755.1
IGHV3-21	AC136616.3
IGHV3-21	AC141272.1
IGHV3-21	IGLL5
IGHV3-21	IGLL1
IGHV3-21	AC136428.1
AC136616.2	AC233755.1
AC136616.2	AC136616.3
AC136616.2	IGHV7-4-1
AC136616.2	IGHV7-81
AC136616.2	IGHA1
AC136616.2	IGHA2
AC136616.2	IGHD
AC136616.2	IGHG3
AC136616.2	IGHG1
AC136616.2	IGHG2
AC136616.2	IGHG4
AC136616.2	IGHV3-35
AC136616.2	IGHV3-16
AC136616.2	AC141272.1
AC136616.2	IGHV3OR16-9
AC136616.2	IGHV3OR16-8
AC136616.2	AC136428.1
AC136616.2	IGHV5-51
AC136616.2	IGHV5-10-1
AC136616.2	AC135068.9
AC136616.2	IGHV1OR15-1
AC136616.2	IGHV1-2
AC136616.2	IGHV1-3
AC136616.2	IGHV1-58
AC136616.2	IGHV1-18
AC136616.2	IGHV1-45
AC136616.2	IGHV1-69
AC136616.2	IGHV1-69D
AC136616.2	IGHV1-69-2
AC136616.2	IGHV1-24
AC136616.2	IGHV1-46
AC136616.2	IGHV1OR15-9
AC136616.2	IGHV1OR21-1
AC136616.2	IGKC
AC136616.2	IGHV6-1
AC136616.2	IGHV4-28
AC136616.2	IGHV4-39
AC136616.2	IGHV4-31
AC136616.2	IGHV4-61
AC136616.2	IGHV4-59
AC136616.2	AC135068.3
AC136616.2	IGHV4OR15-8
AC136616.2	IGHV4-4
AC136616.2	IGHV4-34
AC136616.2	IGHV2-5
AC136616.2	IGHV2-70D
AC136616.2	IGHV2-70
AC136616.2	IGHV2-26
AC136616.2	IGHV2OR16-5
AC136616.2	IGLL1
AC136616.2	IGLL5
AC136616.2	IGLC1
AC136616.2	IGLC7
AC136616.2	IGLC3
AC136616.2	IGLC2
AC136616.2	IGHE
AC136616.2	IGHM
AC136616.2	TRDC
IGHV3OR16-10	AC233755.1
IGHV3OR16-10	AC136616.3
IGHV3OR16-10	AC141272.1
IGHV3OR16-10	IGLL5
IGHV3OR16-10	IGLL1
IGHV3OR16-10	AC136428.1
IGHV3-11	AC233755.1
IGHV3-11	AC136616.3
IGHV3-11	AC141272.1
IGHV3-11	IGLL5
IGHV3-11	IGLL1
IGHV3-11	AC136428.1
IGHV3-73	AC233755.1
IGHV3-73	AC136616.3
IGHV3-73	AC141272.1
IGHV3-73	IGLL5
IGHV3-73	IGLL1
IGHV3-73	AC136428.1
IGHV3-15	AC233755.1
IGHV3-15	AC136616.3
IGHV3-15	AC141272.1
IGHV3-15	IGLL5
IGHV3-15	IGLL1
IGHV3-15	AC136428.1
IGHV3OR16-12	AC233755.1
IGHV3OR16-12	AC136616.3
IGHV3OR16-12	AC141272.1
IGHV3OR16-12	IGLL5
IGHV3OR16-12	IGLL1
IGHV3OR16-12	AC136428.1
IGHV3-72	AC233755.1
IGHV3-72	AC136616.3
IGHV3-72	AC141272.1
IGHV3-72	IGLL5
IGHV3-72	IGLL1
IGHV3-72	AC136428.1
IGHV3-49	AC233755.1
IGHV3-49	AC136616.3
IGHV3-49	AC141272.1
IGHV3-49	IGLL5
IGHV3-49	IGLL1
IGHV3-49	AC136428.1
IGHV3-13	AC233755.1
IGHV3-13	AC136616.3
IGHV3-13	AC141272.1
IGHV3-13	IGLL5
IGHV3-13	IGLL1
IGHV3-13	AC136428.1
IGHV3-48	AC233755.1
IGHV3-48	AC136616.3
IGHV3-48	AC141272.1
IGHV3-48	IGLL5
IGHV3-48	IGLL1
IGHV3-48	AC136428.1
IGHV3-23	AC233755.1
IGHV3-23	AC136616.3
IGHV3-23	AC141272.1
IGHV3-23	IGLL5
IGHV3-23	IGLL1
IGHV3-23	AC136428.1
IGHV3-64	AC233755.1
IGHV3-64	AC136616.3
IGHV3-64	AC141272.1
IGHV3-64	IGLL5
IGHV3-64	IGLL1
IGHV3-64	AC136428.1
IGHV3-66	AC233755.1
IGHV3-66	AC136616.3
IGHV3-66	AC141272.1
IGHV3-66	IGLL5
IGHV3-66	IGLL1
IGHV3-66	AC136428.1
IGHV3-38	AC233755.1
IGHV3-38	AC136616.3
IGHV3-38	AC141272.1
IGHV3-38	IGLL5
IGHV3-38	IGLL1
IGHV3-38	AC136428.1
IGHV3-53	AC233755.1
IGHV3-53	AC136616.3
IGHV3-53	AC141272.1
IGHV3-53	IGLL5
IGHV3-53	IGLL1
IGHV3-53	AC136428.1
IGHV3-64D	AC233755.1
IGHV3-64D	AC136616.3
IGHV3-64D	AC141272.1
IGHV3-64D	IGLL5
IGHV3-64D	IGLL1
IGHV3-64D	AC136428.1
IGHV7-4-1	AC233755.1
IGHV7-4-1	AC136616.3
IGHV7-4-1	AC141272.1
IGHV7-4-1	IGLL5
IGHV7-4-1	IGLL1
IGHV7-4-1	AC136428.1
IGHV7-81	AC233755.1
IGHV7-81	AC136616.3
IGHV7-81	AC141272.1
IGHV7-81	IGLL5
IGHV7-81	IGLL1
IGHV7-81	AC136428.1
IGHA1	AC233755.1
IGHA1	AC136616.3
IGHA1	AC141272.1
IGHA1	IGLL5
IGHA1	IGLL1
IGHA1	AC136428.1
IGHA2	AC233755.1
IGHA2	AC136616.3
IGHA2	AC141272.1
IGHA2	IGLL5
IGHA2	IGLL1
IGHA2	AC136428.1
IGHD	AC233755.1
IGHD	AC136616.3
IGHD	AC141272.1
IGHD	IGLL5
IGHD	IGLL1
IGHD	AC136428.1
IGHG3	AC233755.1
IGHG3	AC136616.3
IGHG3	AC141272.1
IGHG3	IGLL5
IGHG3	IGLL1
IGHG3	AC136428.1
IGHG1	AC233755.1
IGHG1	AC136616.3
IGHG1	AC141272.1
IGHG1	IGLL5
IGHG1	IGLL1
IGHG1	AC136428.1
IGHG2	AC233755.1
IGHG2	AC136616.3
IGHG2	AC141272.1
IGHG2	IGLL5
IGHG2	IGLL1
IGHG2	AC136428.1
IGHG4	AC233755.1
IGHG4	AC136616.3
IGHG4	AC141272.1
IGHG4	IGLL5
IGHG4	IGLL1
IGHG4	AC136428.1
IGHV3-35	AC233755.1
IGHV3-35	AC136616.3
IGHV3-35	IGLL5
IGHV3-35	IGLL1
IGHV3-16	AC233755.1
IGHV3-16	AC136616.3
IGHV3-16	IGLL5
IGHV3-16	IGLL1
AC141272.1	AC233755.1
AC141272.1	AC136616.3
AC141272.1	IGHV5-51
AC141272.1	IGHV5-10-1
AC141272.1	AC135068.9
AC141272.1	IGHV1OR15-1
AC141272.1	IGHV1-2
AC141272.1	IGHV1-3
AC141272.1	IGHV1-58
AC141272.1	IGHV1-18
AC141272.1	IGHV1-45
AC141272.1	IGHV1-69
AC141272.1	IGHV1-69D
AC141272.1	IGHV1-69-2
AC141272.1	IGHV1-24
AC141272.1	IGHV1-46
AC141272.1	IGHV1OR15-9
AC141272.1	IGHV1OR21-1
AC141272.1	IGKC
AC141272.1	IGHV6-1
AC141272.1	IGHV4-28
AC141272.1	IGHV4-39
AC141272.1	IGHV4-31
AC141272.1	IGHV4-61
AC141272.1	IGHV4-59
AC141272.1	AC135068.3
AC141272.1	IGHV4OR15-8
AC141272.1	IGHV4-4
AC141272.1	IGHV4-34
AC141272.1	IGHV2-5
AC141272.1	IGHV2-70D
AC141272.1	IGHV2-70
AC141272.1	IGHV2-26
AC141272.1	IGHV2OR16-5
AC141272.1	IGLL1
AC141272.1	IGLL5
AC141272.1	IGLC1
AC141272.1	IGLC7
AC141272.1	IGLC3
AC141272.1	IGLC2
AC141272.1	IGHE
AC141272.1	IGHM
AC141272.1	TRDC
IGHV3OR16-9	AC233755.1
IGHV3OR16-9	AC136616.3
IGHV3OR16-9	IGLL5
IGHV3OR16-9	IGLL1
IGHV3OR16-8	AC233755.1
IGHV3OR16-8	AC136616.3
IGHV3OR16-8	IGLL5
IGHV3OR16-8	IGLL1
AC136428.1	AC233755.1
AC136428.1	AC136616.3
AC136428.1	IGLL5
AC136428.1	IGLL1
AC136428.1	IGHV5-51
AC136428.1	IGHV5-10-1
AC136428.1	AC135068.9
AC136428.1	IGHV1OR15-1
AC136428.1	IGHV1-2
AC136428.1	IGHV1-3
AC136428.1	IGHV1-58
AC136428.1	IGHV1-18
AC136428.1	IGHV1-45
AC136428.1	IGHV1-69
AC136428.1	IGHV1-69D
AC136428.1	IGHV1-69-2
AC136428.1	IGHV1-24
AC136428.1	IGHV1-46
AC136428.1	IGHV1OR15-9
AC136428.1	IGHV1OR21-1
AC136428.1	IGKC
AC136428.1	IGHV6-1
AC136428.1	IGHV4-28
AC136428.1	IGHV4-39
AC136428.1	IGHV4-31
AC136428.1	IGHV4-61
AC136428.1	IGHV4-59
AC136428.1	AC135068.3
AC136428.1	IGHV4OR15-8
AC136428.1	IGHV4-4
AC136428.1	IGHV4-34
AC136428.1	IGHV2-5
AC136428.1	IGHV2-70D
AC136428.1	IGHV2-70
AC136428.1	IGHV2-26
AC136428.1	IGHV2OR16-5
AC136428.1	IGLC1
AC136428.1	IGLC7
AC136428.1	IGLC3
AC136428.1	IGLC2
AC136428.1	IGHE
AC136428.1	IGHM
AC136428.1	TRDC
IGHV5-51	AC233755.1
IGHV5-51	IGLL5
IGHV5-51	IGLL1
IGHV5-10-1	AC233755.1
IGHV5-10-1	IGLL5
IGHV5-10-1	IGLL1
AC135068.9	AC233755.1
AC135068.9	IGLL5
AC135068.9	IGLL1
IGHV1OR15-1	AC233755.1
IGHV1OR15-1	IGLL5
IGHV1OR15-1	IGLL1
IGHV1-2	AC233755.1
IGHV1-2	IGLL5
IGHV1-2	IGLL1
IGHV1-3	AC233755.1
IGHV1-3	IGLL5
IGHV1-3	IGLL1
IGHV1-58	AC233755.1
IGHV1-58	IGLL5
IGHV1-58	IGLL1
IGHV1-18	AC233755.1
IGHV1-18	IGLL5
IGHV1-18	IGLL1
IGHV1-45	AC233755.1
IGHV1-45	IGLL5
IGHV1-45	IGLL1
AC136616.3	AC233755.1
AC136616.3	IGKC
AC136616.3	IGHV6-1
AC136616.3	IGHV4-28
AC136616.3	IGHV4-39
AC136616.3	IGHV4-31
AC136616.3	IGHV4-61
AC136616.3	IGHV4-59
AC136616.3	AC135068.3
AC136616.3	IGHV4OR15-8
AC136616.3	IGHV4-4
