Paralog1	Paralog2
AC240274.1	NBPF1
AC240274.1	NBPF20
AC240274.1	NBPF26
AC240274.1	NBPF10
AC240274.1	NBPF19
AC240274.1	NBPF15
AC240274.1	NBPF12
AC240274.1	NBPF14
AC240274.1	NBPF9
AC240274.1	AC242842.3
AC240274.1	NBPF11
AC240274.1	NBPF3
AC240274.1	NBPF4
AC240274.1	NBPF6
NBPF1	NBPF20
NBPF1	NBPF26
NBPF1	NBPF10
NBPF1	NBPF19
NBPF1	NBPF15
NBPF1	NBPF12
NBPF1	NBPF14
NBPF1	NBPF9
NBPF1	AC242842.3
NBPF1	NBPF11
NBPF1	NBPF3
NBPF1	NBPF4
NBPF1	NBPF6
NBPF20	NBPF3
NBPF20	NBPF4
NBPF20	NBPF6
NBPF20	NBPF26
NBPF20	NBPF15
NBPF20	NBPF9
NBPF20	NBPF12
NBPF20	NBPF11
NBPF20	NBPF10
NBPF20	NBPF19
NBPF20	NBPF14
NBPF20	AC242842.3
NBPF26	NBPF3
NBPF26	NBPF4
NBPF26	NBPF6
NBPF26	NBPF9
NBPF26	NBPF12
NBPF26	NBPF11
NBPF26	NBPF10
NBPF26	NBPF19
NBPF26	NBPF15
NBPF26	NBPF14
NBPF26	AC242842.3
NBPF10	NBPF3
NBPF10	NBPF4
NBPF10	NBPF6
NBPF10	NBPF15
NBPF10	NBPF14
NBPF10	NBPF19
NBPF10	AC242842.3
NBPF10	NBPF12
NBPF10	NBPF9
NBPF10	NBPF11
NBPF19	NBPF3
NBPF19	NBPF4
NBPF19	NBPF6
NBPF19	NBPF15
NBPF19	NBPF12
NBPF19	NBPF11
NBPF19	NBPF14
NBPF19	NBPF9
NBPF19	AC242842.3
NBPF15	NBPF3
NBPF15	NBPF4
NBPF15	NBPF6
NBPF15	AC242842.3
NBPF15	NBPF14
NBPF15	NBPF12
NBPF15	NBPF9
NBPF15	NBPF11
NBPF12	NBPF3
NBPF12	NBPF4
NBPF12	NBPF6
NBPF12	NBPF11
NBPF12	NBPF9
NBPF12	NBPF14
NBPF12	AC242842.3
NBPF14	NBPF3
NBPF14	NBPF4
NBPF14	NBPF6
NBPF14	NBPF11
NBPF14	AC242842.3
NBPF14	NBPF9
NBPF9	NBPF3
NBPF9	NBPF4
NBPF9	NBPF6
NBPF9	NBPF11
NBPF9	AC242842.3
AC242842.3	NBPF3
AC242842.3	NBPF4
AC242842.3	NBPF6
AC242842.3	NBPF11
NBPF11	NBPF3
NBPF11	NBPF4
NBPF11	NBPF6
NBPF3	NBPF4
NBPF3	NBPF6
