PROTEIN CODING GENES:	8122 (100.00)
PROTEIN CODING COUPLES:	8652 (83.84)

NON PROTEIN CODING GENES:	0 (0.00)
NON PROTEIN CODING COUPLES:	1668 (16.16)

Non protein coding couples:
ARHGEF16	ARHGEF34P
ARHGEF19	ARHGEF34P
NGEF	ARHGEF34P
ARHGEF26	ARHGEF34P
GJA8	GJA1P1
GJA1P1	GJA4
GJA1P1	GJA10
GJA1P1	GJA3
GJA1P1	GJB2
GJA1P1	GJD2
CRYBG2	CRYBB2P1
CRYBA2	CRYBB2P1
CRYBB2P1	CRYGD
CRYBB2P1	CRYGC
CRYBB2P1	CRYGB
CRYBB2P1	CRYGA
CRYBB2P1	CRYGS
CRYBB2P1	CRYBA1
ZBTB8OS	ZBTB8OSP2
FHL3	FHL1
FHL2	FHL1
FHL5	FHL1
B3GNT7	B3GALT9
B3GALT9	B3GNT3
CCNL2	MCM2
MASP2	C1R
MASP2	C1S
MASP2	C1RL
MASP1	C1R
MASP1	C1S
MASP1	C1RL
HTR1D	HTR1F
HTR1D	HTR1B
HTR1D	HTR1E
HTR1D	HTR5A
HTR1D	ADRA1D
HTR1F	HTR1A
HTR1B	HTR1A
HTR1B	ADRA1B
HTR1E	DRD3
HTR1E	HTR1A
ADRA1D	HTR4
ADRA1D	DRD1
ADRA1D	HRH2
ADRA1D	HTR7
HTR1A	ADRA1B
PHC3	PHC1P1
ZFP69	ZNF502
ZFP69	ZNF251
ZFP69	ZNF16
ZFP69	ZNF485
ZFP69	ZNF519
ZFP69	ZNF493
ZFP69	ZNF708
ZFP69	AC092634.1
ZFP69	ZNF829
ZFP69	ZNF546
ZFP69	ZNF155
ZFP69	ZNF676
ZFP69	ZNF849P
ZFP69	ZNF724
ZFP69	ZNF675
ZFP69	ZNF461
ZFP69	ZNF383
ZFP69	ZNF780B
ZNF502	ZNF778
ZNF502	ZFP90
ZNF502	ZNF774
ZNF251	ZNF485
ZNF251	BX322639.1
ZNF251	ZFP90
ZNF251	ZNF566
ZNF251	ZNF675
ZNF251	ZNF256
ZNF251	ZNF849P
ZNF16	ZNF425
ZNF16	ZNF485
ZNF16	BX322639.1
ZNF16	ZFP90
ZNF16	ZNF778
ZNF16	ZNF594
ZNF16	ZNF418
ZNF16	ZNF566
ZNF16	ZNF675
ZNF16	ZNF17
ZNF16	ZNF849P
ZNF16	ZNF133
ZNF16	ZNF343
ZNF485	ZNF141
ZNF485	ZNF479
ZNF485	ZNF716
ZNF485	ZNF727
ZNF485	ZNF679
ZNF485	ZNF107
ZNF485	ZNF117
ZNF485	ZNF92
ZNF519	ZNF479
ZNF519	ZNF107
ZNF519	ZNF92
ZNF519	ZFP90
