Ohnolog1	Ohnolog2
ARHGEF16	ARHGEF19
ARHGEF16	NGEF
ARHGEF16	ARHGEF26
ARHGEF16	ARHGEF34P
ARHGEF16	ARHGEF5
ARHGEF16	ARHGEF15
ARHGEF19	NGEF
ARHGEF19	ARHGEF26
ARHGEF19	ARHGEF34P
ARHGEF19	ARHGEF5
ARHGEF19	ARHGEF15
NGEF	ARHGEF26
NGEF	ARHGEF34P
NGEF	ARHGEF5
NGEF	ARHGEF15
ARHGEF26	ARHGEF5
ARHGEF26	ARHGEF34P
ARHGEF26	ARHGEF15
ARHGEF5	ARHGEF15
TAS1R1	TAS1R2
TAS1R1	GPRC6A
TAS1R2	GPRC6A
GPRC6A	CASR
GPRC6A	TAS1R3
ECE1	MMEL1
ECE1	MME
ECE1	ECE2
ECE1	KEL
MMEL1	ECEL1
MMEL1	MME
MME	ECEL1
ECE2	ECEL1
ECE2	KEL
MAN1C1	MAN1A2
MAN1C1	MAN1A1
MAN1A2	MAN1A1
TENT5B	TENT5C
TENT5B	TENT5A
TENT5B	TENT5D
TENT5C	TENT5A
TENT5C	TENT5D
TENT5A	TENT5D
LPAR3	GPR3
LPAR3	S1PR3
LPAR3	LPAR1
LPAR3	LPAR2
LPAR3	S1PR4
LPAR3	S1PR5
GPR3	S1PR1
GPR3	GPR6
GPR3	GPR12
GPR3	LPAR2
GPR3	MC3R
S1PR3	S1PR1
S1PR3	LPAR1
S1PR3	S1PR5
S1PR3	S1PR4
S1PR3	LPAR2
LPAR1	S1PR1
LPAR1	LPAR2
LPAR1	S1PR5
LPAR1	S1PR4
LPAR2	S1PR1
LPAR2	S1PR4
LPAR2	S1PR5
LPAR2	MC3R
LPAR2	GPR12
S1PR4	S1PR1
S1PR4	S1PR5
S1PR5	S1PR1
GPR6	GPR12
GPR6	MC3R
GPR12	S1PR2
MC3R	MC5R
MC3R	MC4R
MC3R	MC1R
MC3R	MC2R
CNN3	TAGLN2
CNN3	CNN2
CNN3	CNN1
TAGLN2	TAGLN3
TAGLN2	TAGLN
TAGLN2	CNN2
CNN2	CNN1
CNN2	TAGLN
CNN2	TAGLN3
CNN1	TAGLN
CNN1	TAGLN3
TAGLN3	TAGLN
OLFM3	OLFML2B
OLFM3	MYOC
OLFM3	OLFM1
OLFM3	OLFML2A
OLFM3	OLFML1
OLFM3	OLFM2
OLFML2B	OLFML2A
OLFML2B	OLFM1
OLFML2B	OLFM2
OLFML2B	GLDN
MYOC	OLFML2A
MYOC	OLFM1
OLFM1	OLFM2
OLFML1	OLFML3
OLFM2	GLDN
WNT2B	WNT4
WNT2B	WNT5A
WNT2B	WNT2
WNT2B	WNT5B
WNT2B	WNT7B
WNT4	WNT5A
WNT4	WNT5B
WNT5A	WNT7A
WNT5A	WNT5B
WNT5A	WNT7B
WNT2	WNT3A
WNT2	WNT7A
WNT7B	WNT3
WNT7B	WNT7A
CASQ2	CASQ1
GJA8	GJC2
GJA8	GJA1P1
GJA8	GJA10
GJA8	GJA1
GJA8	GJD3
GJA1P1	GJA4
GJA1P1	GJA10
GJA1P1	GJA3
GJA1P1	GJB2
GJA1P1	GJD2
GJA10	GJA4
GJA10	GJB5
GJA10	GJA9
GJA10	GJA3
GJA10	GJB6
GJA10	GJB1
GJA1	GJA4
GJA1	GJA9
GJA1	GJA3
GJA1	GJB2
H2BC21	H2BU1
H2BC21	H2BC13
H2BC21	H2BC1
ATP1A2	ATP1A1
ATP1A2	ATP1A3
ATP1A1	ATP1A4
ATP1A1	ATP1A3
ATP1A3	ATP1A4
VANGL2	VANGL1
C1QTNF12	ERFE
SCNN1D	ASIC4
SCNN1D	ASIC3
ASIC4	ASIC3
ASIC4	ASIC1
ASIC4	ASIC2
ASIC3	ASIC1
ASIC3	ASIC2
ASIC1	ASIC2
ASIC2	SCNN1B
ESPN	ESPNL
PER3	PER2
PER3	PER1
PER2	PER1
KIF1B	KIF1A
KIF1B	KIF1C
KIF1A	KIF1C
EFHD2	EFHD1
EPHA2	EPHA4
EPHA2	EPHA3
EPHA2	EPHA6
EPHA2	EPHB3
EPHA2	EPHB1
EPHA2	EPHA7
EPHA2	EPHB6
EPHA2	EPHB4
EPHA2	EPHA1
EPHA2	EPHB2
EPHA2	EPHA8
EPHA4	EPHA8
EPHA4	EPHB2
EPHA4	EPHA10
EPHA4	EPHB3
EPHA4	EPHA6
EPHA4	EPHA3
EPHA4	EPHB1
EPHA4	EPHA5
EPHA4	EPHA7
EPHA4	EPHB4
EPHA4	EPHB6
EPHA4	EPHA1
EPHA3	EPHA8
EPHA3	EPHB2
EPHA3	EPHA10
EPHA3	EPHA7
EPHA3	EPHB4
EPHA3	EPHB6
EPHA3	EPHB1
EPHA3	EPHB3
EPHA3	EPHA5
EPHA6	EPHA8
EPHA6	EPHB2
EPHA6	EPHA10
EPHA6	EPHB1
EPHA6	EPHA7
EPHA6	EPHB4
EPHA6	EPHB6
EPHA6	EPHB3
EPHA6	EPHA5
EPHB3	EPHA8
EPHB3	EPHB2
EPHB3	EPHA10
EPHB3	EPHB1
EPHB3	EPHB4
EPHB3	EPHA1
EPHB3	EPHB6
EPHB3	EPHA5
EPHB1	EPHA8
EPHB1	EPHB2
EPHB1	EPHA10
EPHB1	EPHA1
EPHB1	EPHB4
EPHB1	EPHB6
EPHB1	EPHA7
EPHB1	EPHA5
EPHA7	EPHA8
EPHA7	EPHB2
EPHA7	EPHA10
EPHA7	EPHB4
EPHA7	EPHB6
EPHA7	EPHA1
EPHB6	EPHA8
EPHB6	EPHB2
EPHB6	EPHB4
EPHB4	EPHA8
EPHB4	EPHB2
EPHB4	EPHA10
EPHB4	EPHA1
EPHA1	EPHA8
EPHA1	EPHB2
EPHA8	EPHA5
EPHB2	EPHA5
EPHA10	EPHA5
PAX7	PAX3
ALPL	ALPI
ALPL	ALPG
ALPL	ALPP
ASAP3	ASAP2
ASAP3	ASAP1
ASAP2	ASAP1
E2F2	E2F6
E2F2	E2F3
E2F2	E2F1
E2F6	E2F3
E2F6	E2F1
E2F3	E2F1
ID3	ID2
ID3	ID4
ID3	ID1
ID2	ID4
ID2	ID1
ID4	ID1
GRHL3	GRHL1
GRHL3	GRHL2
GRHL1	GRHL2
SLC30A2	SLC30A3
SLC30A2	SLC30A8
SLC30A3	SLC30A8
SLC30A3	SLC30A4
CRYBG2	CRYBA2
CRYBG2	CRYBB1
CRYBG2	CRYBA4
CRYBG2	CRYBB3
CRYBG2	CRYBB2P1
CRYBA2	CRYGS
CRYBA2	CRYBA1
CRYBA2	CRYBB2P1
CRYBA2	CRYBA4
CRYBA2	CRYBB1
CRYBA2	CRYBB3
CRYBB1	CRYGD
CRYBB1	CRYGC
CRYBB1	CRYGB
CRYBB1	CRYGA
CRYBB1	CRYGS
CRYBB1	CRYBA1
CRYBA4	CRYGD
CRYBA4	CRYGC
CRYBA4	CRYGB
CRYBA4	CRYGA
CRYBA4	CRYBA1
CRYBB3	CRYGD
CRYBB3	CRYGC
CRYBB3	CRYGB
CRYBB3	CRYGA
CRYBB3	CRYGS
CRYBB3	CRYBA1
CRYBB2P1	CRYGD
CRYBB2P1	CRYGC
CRYBB2P1	CRYGB
CRYBB2P1	CRYGA
CRYBB2P1	CRYGS
CRYBB2P1	CRYBA1
CRYGS	CRYGD
CRYGS	CRYGC
CRYGS	CRYGB
CRYGS	CRYGA
CRYGS	CRYGN
CRYBA1	CRYGD
CRYBA1	CRYGC
CRYBA1	CRYGB
CRYBA1	CRYGA
SFN	YWHAQ
SFN	YWHAG
SFN	YWHAZ
SFN	YWHAB
SFN	YWHAH
YWHAQ	YWHAZ
YWHAQ	YWHAB
YWHAG	YWHAH
YWHAZ	YWHAB
YWHAB	YWHAH
MATN1	VIT
SDC3	SDC1
SDC3	SDC4
SDC3	SDC2
SDC1	SDC4
SDC1	SDC2
SDC4	SDC2
PUM1	PUM2
ZBTB8OS	ZBTB8OSP2
HPCA	HPCAL1
HPCA	VSNL1
HPCA	NCALD
HPCAL1	HPCAL4
HPCAL1	NCALD
VSNL1	HPCAL4
VSNL1	NCALD
NCALD	HPCAL4
AZIN2	ODC1
AZIN2	AZIN1
ODC1	AZIN1
TEKT2	TEKT4
TEKT2	TEKT1
TEKT4	TEKT3
TEKT4	TEKT1
TEKT1	TEKT5
TEKT1	TEKT3
TEKT3	TEKT5
FHL3	FHL2
FHL3	FHL5
FHL3	FHL1
FHL2	FHL5
FHL2	FHL1
FHL5	FHL1
POU3F1	POU3F3
POU3F1	POU1F1
POU3F1	POU5F1
POU3F1	POU3F2
POU3F1	POU5F1B
POU3F1	POU2F3
POU3F1	POU2F2
POU3F1	POU3F4
POU3F3	POU3F2
POU3F3	POU2F2
POU3F3	POU3F4
POU1F1	POU3F2
POU1F1	POU2F3
POU1F1	POU2F2
POU5F1	POU2F3
POU3F2	POU5F1B
POU3F2	POU2F3
POU3F2	POU2F2
POU3F2	POU3F4
POU2F3	POU2F2
POU2F3	POU2F1
POU2F2	POU2F1
NT5C1A	NT5C1B
NT5C1A	NT5C1B-RDH14
MYCL	MYCN
MYCL	MYC
MYCN	MYC
MFSD2A	MFSD2B
SLC19A2	SLC19A3
SLC19A3	SLC19A1
SERPINC1	SERPINE2
SERPINC1	SERPINI2
SERPINC1	SERPINI1
SERPINC1	SERPINB5
SERPINC1	SERPINB1
SERPINC1	SERPINB8
SERPINC1	SERPINB12
SERPINC1	SERPINB6
SERPINC1	SERPINB9
SERPINC1	SERPINB2
SERPINC1	SERPINB10
SERPINE2	SERPINI2
SERPINE2	SERPINI1
SERPINE2	SERPINE1
SERPINE2	SERPINE3
SERPINE2	SERPINH1
SERPINI2	SERPINE1
SERPINI2	SERPINE3
SERPINI2	SERPINH1
SERPINI1	SERPINE1
SERPINI1	SERPINE3
